file,records,bytes,sha256,runs,transform_applied_when_packaging
data/negative_controls.jsonl.gz,9,7332,1493c52a7a5b27310cdb93328b1306d4e266ec7a05c1ead50d4d930e59e22f1e,negative_control (9),none
data/order256_certs_shard0.jsonl.gz,5767,2624700,c6c54971f7481f0dadd65f1f8edd2188886104de9dc5a1233f7e7ec983c224b8,"order-256 batch 0: direct search; checked by two independent programs, 2026-09-10/11 (5767)",none
data/order256_certs_shard1.jsonl.gz,5767,2632691,e8b35fb3f00521289e939c1d47a86084d496b24716a4d8ec2d917d4844a657c9,"order-256 batch 1: direct search; checked by two independent programs, 2026-09-13 (5767)",none
data/order256_certs_shard2.jsonl.gz,5767,2620927,ebbc528d47521a0a5fabf975294334d54cb8ea385168b66d596b781dfa0864c0,"order-256 batch 2: direct search; checked by two independent programs, 2026-09-13 (5767)",none
data/order256_certs_shard3.jsonl.gz,5769,2633736,1ff4bfb9357b3488572d7a2bc500f0326a41083c68589eb644bf1711202f2c9e,"order-256 batch 3: direct search; checked by two independent programs, 2026-09-13 (5769)",none
data/order256_certs_shard4.jsonl.gz,5767,2616076,e1bb17c3f4d5a9498d8e4f05c74de860e73de6734228c95c5a054d83b2d0e084,"order-256 batch 4: direct search; checked by two independent programs, 2026-09-13 (5767)",none
data/order256_certs_shard5.jsonl.gz,5768,2628739,4544a442aad9e49bbc9441593025b59ea945137f656f83b1856f4df6a64ef855,"order-256 batch 5: direct search; checked by two independent programs, 2026-09-13 (5768)",none
data/order256_certs_shard6.jsonl.gz,5768,2624249,1bf04f10d13e09b3580265e7b5b4f84604950cd3377ba9298724517e3ba7f8eb,"order-256 batch 6: direct search; checked by two independent programs, 2026-09-10/11 (5768)",none
data/order256_certs_shard7.jsonl.gz,5768,2632528,40b41fe697cd087e60a3cf6d707a9b21f38df4ca2f819a2c415f33d3d9959b22,"order-256 batch 7: direct search; checked by two independent programs, 2026-09-13 (5768)",none
data/order256_terraces.jsonl.gz,9929,4613284,623900b012af22a301d9c06dffbb489369097a20bc2179410bda5eb22b8a5e50,"direct search, earlier run; checked by two independent programs (9926); direct search; checked by two independent programs (also terraced by a published theorem: see README.md) (3)",none
data/order384_certs_shard0.jsonl.gz,4202,6946584,a4461fb93aeb240613c34b7f30a36738ac1282515840706b2f106794ee19b9af,"order-384 batch 0: direct search; checked by two independent programs, 2026-09-09/10 (4202)","generator permutations repacked into the single-string schema by scripts/canonicalize_gens_schema.py; every repacked record then verified and id-checked like all others (verification_log.txt, ids_check_log.txt)"
data/order384_certs_shard1.jsonl.gz,4102,6747203,427f71700d46867fbdb067c63afdae0c7a3e2be8cae580fda3694c59a2d7e47a,"order-384 batch 1: direct search; checked by two independent programs, 2026-09-09 (4102)",none
data/order384_certs_shard2.jsonl.gz,4101,6732618,91a83a433ad33da0e8114c86c456c00a4482fd3d855f5e9cc094ea2a0b4847b1,"order-384 batch 2: direct search; checked by two independent programs, 2026-09-13/15 (4101)","generator permutations repacked into the single-string schema by scripts/canonicalize_gens_schema.py; every repacked record then verified and id-checked like all others (verification_log.txt, ids_check_log.txt)"
data/order384_certs_shard3.jsonl.gz,4102,6798576,6d0d72000d5d19d66b579fe9e45de7c4af5132d5d57a45d9d8da44ff9bc13038,"order-384 batch 3: direct search; checked by two independent programs, 2026-09-13/14 (4102)","generator permutations repacked into the single-string schema by scripts/canonicalize_gens_schema.py; every repacked record then verified and id-checked like all others (verification_log.txt, ids_check_log.txt)"
data/order384_terraces.jsonl.gz,3748,6849262,9d3ecc919448a2db389143b189bd460ddf74728ad7ae8f9770d068ff1ca3ba0b,"direct search, earlier run; checked by two independent programs (459); order-384 follow-up batch 0: direct search; checked by two independent programs, 2026-09-08/09 (823); order-384 follow-up batch 1: direct search; checked by two independent programs (822); order-384 follow-up batch 2: direct search; checked by two independent programs (822); order-384 follow-up batch 3: direct search; checked by two independent programs (822)",none
